ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x73e3","0x00","0","0","0","0","64","6","0x9f43","192.168.1.2","54.192.111.63","40","0x00","49896","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0x4332","0",
"4","20",,"0xb738","0x00","0","0","0","0","244","6","0xa7c1","54.192.111.63","192.168.1.2","52","0x20","443","49896","1","2","0","32","0x0010","0","0","0","0","1","0","0","152","0x4ccd","0",
"4","20",,"0x4fae","0x02","0","1","0","0","255","17","0x893d","192.168.1.4","224.0.0.251","89","0x00",,,,,,,,,,,,,,,,,,
"4","20",,"0x5d23","0x00","0","0","0","0","64","6","0x2bbb","192.168.1.2","199.232.104.95","40","0x00","49818","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2723","0x1d0a","0",
"4","20",,"0x16fe","0x02","0","1","0","0","58","6","0x37b4","199.232.104.95","192.168.1.2","52","0x20","443","49818","1","2","0","32","0x0010","0","0","0","0","1","0","0","288","0xa730","0",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0xa2cf","0x00","0","0","0","0","64","6","0x7987","192.168.1.2","34.98.122.109","40","0x00","49951","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0x3793","0",
"4","20",,"0x6d32","0x00","0","0","0","0","119","6","0x7818","34.98.122.109","192.168.1.2","52","0x00","443","49951","1","2","0","32","0x0010","0","0","0","0","1","0","0","261","0x2453","0",
"4","20",,"0x9b7c","0x00","0","0","0","0","64","6","0x0762","192.168.1.2","13.67.9.5","40","0x00","49906","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0x59b8","0",
"4","20",,"0x3e2c","0x00","0","0","0","0","64","6","0x4ab2","192.168.1.2","199.232.104.95","40","0x00","49819","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2723","0xb1fb","0",
"4","20",,"0x9733","0x02","0","1","0","0","58","6","0xb77e","199.232.104.95","192.168.1.2","52","0x20","443","49819","1","2","0","32","0x0010","0","0","0","0","1","0","0","290","0x5e34","0",
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0x325d","0x02","0","1","0","0","109","6","0x0375","13.67.9.5","192.168.1.2","52","0x00","443","49906","1","2","0","32","0x0010","0","0","0","0","1","0","0","1029","0xa20a","0",
"4","20",,"0xd98f","0x00","0","0","0","0","64","6","0x6172","192.168.1.2","54.218.71.74","40","0x00","49953","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0xaf78","0",
"4","20",,"0x0b1e","0x02","0","1","0","0","32","6","0x0fb8","54.218.71.74","192.168.1.2","52","0x20","443","49953","1","2","0","32","0x0010","0","0","0","0","1","0","0","219","0x46fe","0",
"4","20",,"0x406c","0x00","0","0","0","0","64","6","0x8d6a","192.168.1.2","13.249.221.86","40","0x00","49960","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0xb568","0",
"4","20",,"0x3bf4","0x00","0","0","0","0","64","6","0x9273","192.168.1.2","18.161.216.29","40","0x00","49958","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0xd601","0",
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0x0a0d","0x02","0","1","0","0","55","6","0xe406","162.247.241.14","192.168.1.2","52","0x00","443","49562","403","1058","0","32","0x0010","0","0","0","0","1","0","0","8","0x81da","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xe513","192.168.1.2","162.247.241.14","52","0x00","49562","443","1058","404","0","32","0x0010","0","0","0","0","1","0","0","2048","0x791d","0",
"4","20",,"0x0632","0x00","0","0","0","0","242","6","0x1598","13.249.221.86","192.168.1.2","52","0x00","443","49960","1","2","0","32","0x0010","0","0","0","0","1","0","0","133","0x75a3","0",
"4","20",,"0x91a5","0x00","0","0","0","0","244","6","0x88b5","18.161.216.29","192.168.1.2","52","0x00","443","49958","1","2","0","32","0x0010","0","0","0","0","1","0","0","198","0x2e1c","0",
